Designator,Mid X,Mid Y,Rotation,Layer
L2,65.02,-129.65,0.0,top
L3,53.43,-138.6,90.0,top
L4,48.6,-138.15,225.0,top
L5,43.46,-135.19,90.0,top
L6,37.1,-128.9,315.0,top
L7,35.72,-123.3,90.0,top
L8,38.02,-118.97,180.0,top
L9,43.2,-118.95,225.0,top
R1,87.395,-49.9385,270.0,top
R10,48.97,-65.16,0.0,top
R11,70.575,-44.45,90.0,top
R12,66.875,-44.4,90.0,top
R13,90.285,-55.3385,270.0,top
R14,112.7873,-108.785,0.0,top
R15,112.7873,-110.425,0.0,top
R16,39.875,-60.9,180.0,top
R17,39.875,-56.0,180.0,top
R18,95.89,-65.04,180.0,top
R19,63.575,-44.45,90.0,top
R2,73.375,-52.64,0.0,top
R20,93.225,-66.79,315.0,top
R21,117.5473,-100.715,0.0,top
R22,39.875,-67.725,180.0,top
R23,80.225,-64.44,270.0,top
R24,78.875,-58.54,45.0,top
R25,101.725,-70.54,270.0,top
R26,104.125,-70.49,90.0,top
R27,45.325,-66.94,270.0,top
R28,122.7573,-107.285,180.0,top
R29,117.5473,-103.825,0.0,top
R3,47.11,-65.16,0.0,top
R30,106.57,-64.16,0.0,top
R31,98.22,-64.16,0.0,top
R32,96.42,-64.16,180.0,top
R33,104.77,-64.16,180.0,top
R34,76.68,-82.6,0.0,top
R35,45.325,-68.74,270.0,top
R36,97.69,-65.04,180.0,top
R37,88.375,-79.34,180.0,top
R38,88.375,-81.24,180.0,top
R39,60.625,-44.45,90.0,top
R4,84.285,-49.9485,270.0,top
R40,117.5473,-115.385,0.0,top
R41,117.5473,-118.495,0.0,top
R42,88.375,-83.14,180.0,top
R43,91.01,-119.78,180.0,top
R46,61.96,-131.34,90.0,top
R5,83.575,-70.39,0.0,top
R6,39.85,-73.6,180.0,top
R7,57.825,-44.39,270.0,top
R8,85.255,-52.2385,90.0,top
R9,86.465,-52.2485,90.0,top
RF1,117.932568,-134.468217,270.0,top
RF2,87.491009,-134.457368,270.0,top
S1,35.95,-73.9,0.0,top
S2,35.875,-62.566667,0.0,top
S3,35.975,-56.9,0.0,top
S4,35.8,-68.233333,0.0,top
T1,103.54,-128.01,90.0,top
T2,73.06,-133.56,180.0,top
TP16,127.92,-78.51,270.0,top
TP17,117.22,-63.96,270.0,bottom
TP18,117.22,-59.66,0.0,bottom
TP3,86.475,-79.04,0.0,bottom
TP4,86.475,-81.54,0.0,bottom
TP5,80.575,-68.19,0.0,bottom
TP6,80.575,-65.69,0.0,bottom
TP8,112.85,-57.74,0.0,bottom
TP9,123.25,-104.9,0.0,top
U1,99.02,-109.6125,180.0,top
U10,83.375,-81.04,270.0,top
U12,60.775,-64.15,270.0,top
U13,76.675,-47.5435,0.0,top
U14,117.87,-56.945,180.0,top
U15,121.935,-87.71,90.0,top
U16,69.03,-132.09,270.0,top
U17,57.71,-132.69275,180.0,top
U18,65.11,-119.23275,180.0,top
U19,52.59,-113.63725,0.0,top
U2,108.8498,-109.6125,180.0,top
U20,47.1,-62.7275,0.0,top
U21,47.525,-67.59,180.0,top
U22,67.875,-64.15,270.0,top
U23,74.959976,-64.153403,270.0,top
U3,116.7773,-109.6125,180.0,top
U4,125.6473,-110.5875,90.0,top
U5,56.16,-121.51,180.0,top
U6,86.185,-62.3385,90.0,top
U7,79.425,-53.1785,180.0,top
U8,53.670034,-64.17,270.0,top
U9,101.37,-66.9975,0.0,top
USB1,85.925,-45.69,180.0,top
X1,76.625,-79.55,270.0,top
X2,84.225,-68.54,0.0,top
